,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICACIÓN,IDENTIFICACIÓN,IDENTIFICACIÓN,CLASIFICACIÓN,CLASIFICACIÓN,CLASIFICACIÓN,CLASIFICACIÓN,TEMPORALIDAD,TEMPORALIDAD,ESTADO,ESTADO,ESTADO,DESCRIPCIÓN,DESCRIPCIÓN,DESCRIPCIÓN,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,INDICADORES,CONDICIONES,CONDICIONES,CONDICIONES,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,FILTROS NUM,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,GESTIÓN RIESGO,METADATOS,METADATOS,METADATOS,METADATOS,METADATOS
SCN_ID,NOMBRE,VERSION,CATEGORIA,MERCADO,SUBCATEGORIA,TIPO_OP,TF_PRINCIPAL,TF_CONFIRMACION,ESTADO,PRIORIDAD,ESTADO_IA,DESCRIPCION,OBJETIVO,HIPOTESIS,IND_PRINCIPALES,IND_SECUNDARIOS,USA_VWAP,USA_EMA20,USA_EMA50,USA_EMA200,USA_MACD,USA_RSI,USA_ATR,USA_RVOL,CONDICION_ENTRADA,CONDICION_SALIDA,FILTROS,PRECIO_MIN,PRECIO_MAX,VOL_MIN,ATR_MIN,ATR_MAX,RVOL_MIN,SECTOR,STOP_LOSS_TYPE,TP_TYPE,RIESGO_PCT,RR_MINIMO,DURACION,NIVEL_RIESGO,FECHA_CREACION,ULTIMA_MOD,RESPONSABLE,FUENTE_DATOS,NOTAS
SCN-20260701-001,ST-01 Pullback en Tendencia,1.0,MOMENTUM,ACCIONES_US,PULLBACK,LONG,1D,4H / 15M,EN_PRUEBAS,CRITICA,IA_ASISTIDA,Detecta retrocesos de alta probabilidad en tendencias establecidas. Confluencia 1D+4H+15M obligatoria.,Capturar continuación de tendencia tras pullback a EMA20 en 4H con confirmación de volumen en 15M,"En tendencia alcista, el precio retrocede a EMA20 4H y rebota con volumen institucional. La confluencia MTF aumenta la probabilidad.","EMA20,EMA50,EMA200,RVOL,MACD","VWAP,RSI,ATR",SI,SI,SI,SI,SI,SI,SI,SI,1D: EMA20>EMA50>EMA200 + RSI[50-65] + MACD_hist>0 | 4H: precio_toca_EMA20_4H + EMA20_4H>EMA200_1D + precio_dentro_3pct_VWAP | 15M: RVOL>1.5 + MACD_cruce_alcista | SCORE>=80,Target 1: resistencia_previa_1D | Target 2: extension_1.5x_rango | Stop: minimo_vela_reversal_15M o EMA20_4H-0.3%,EMA20<EMA200_1D → descarte | RSI_1D>75 → esperar | RVOL<1.0 → no_operar,8.0,500.0,500000.0,0.8,4.0,2026-05-01 00:00:00,"TECNOLOGIA,SALUD,CONSUMO_DISCRECIONAL",ATR,RESISTENCIA,1.0,2.0,SWING_1-5D,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Setup más consistente en mercados tendenciales. Requiere tendencia previa min 20 sesiones. Falla en laterales.
SCN-20260701-002,ST-02 Breakout de Base Institucional,1.0,BREAKOUT,ACCIONES_US,BREAKOUT,LONG,1D,1W / 15M,EN_PRUEBAS,ALTA,IA_ASISTIDA,Captura rupturas de consolidaciones de 15-40 sesiones con participación institucional real (RVOL>2).,Entrar en ruptura de base tras acumulación silenciosa institucional. OBV confirma antes del precio.,Las bases largas con OBV creciente indican acumulación institucional. La ruptura con RVOL>2 confirma intención real.,"RVOL,OBV,EMA200,MACD","RSI,ATR,VWAP,ADX",SI,SI,SI,SI,SI,SI,SI,SI,1W: MACD_positivo_o_cruzando | 1D: base_detectada(15-40_sesiones)+OBV_subiendo + ruptura_maximo_base_con_cierre + RVOL>2.0 + RSI<72 | 15M: primer_pullback_a_zona_rota+rebote_con_volumen | SCORE>=80,Target 1: extension_1x_base | Target 2: extension_2x_base | Stop: cierre_por_debajo_zona_rota,RVOL<1.3_en_ruptura → falsa_ruptura | precio_vuelve_base_en_3D → salir | VIX>22 → no_operar | SPY<EMA50_1D → reducir_tamaño,10.0,500.0,1000000.0,0.8,5.0,2.0,"TECNOLOGIA,SALUD,INDUSTRIALES",NIVEL,EXTENSION,1.0,2026-05-02 00:00:00,SWING_1-5D,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Alta fiabilidad cuando todas las condiciones presentes. Patrón O'Neil validado históricamente.
SCN-20260701-003,ST-03 Volatility Squeeze MTF,1.0,BREAKOUT,ACCIONES_US,SQUEEZE,LONG_SHORT,1D,4H,EN_PRUEBAS,ALTA,IA_ASISTIDA,Detecta compresión extrema de volatilidad (BB dentro de KC) previa a expansión. OBV determina dirección.,Posicionarse antes de la expansión de volatilidad con dirección confirmada por OBV y tendencia previa.,"Cuando BB entra dentro de KC, la energía se acumula. OBV subiendo en squeeze indica acumulación alcista.","BOLLINGER,KELTNER,OBV,ATR","MACD,EMA200,RSI,RVOL",NO,SI,SI,SI,SI,SI,SI,SI,1D: BB_dentro_KC + ATR_minimo_15_sesiones + OBV_subiendo_mientras_precio_lateral + precio>EMA200 | 4H: MACD_comprimiendose_a_cero | TRIGGER: primera_vela_fuera_squeeze_con_RVOL>2 | SCORE>=75,Target: amplitud_rango_proyectada_desde_ruptura | Stop: limite_inferior_rango_compresion,ADVERTENCIA: squeeze no indica dirección. OBV+tendencia_previa+contexto_mercado determinan lado.,8.0,500.0,500000.0,0.5,4.0,2.0,TODOS,NIVEL,EXTENSION,1.0,2.0,SWING_1-5D,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Squeeze en downtrend = setup bajista. Requiere confirmación de dirección por OBV antes de entrar.
SCN-20260701-004,ST-04 MACD Triple Confluencia MTF,1.0,MOMENTUM,ACCIONES_US,CONTINUATION,LONG,1D,1W / 4H,EN_PRUEBAS,ALTA,IA_ASISTIDA,Cambio de momentum simultáneo en Semanal+Diario+4H. Raro pero de muy alta probabilidad cuando ocurre.,Capturar inicio de tendencia con alineación macro de momentum en 3 timeframes simultáneos.,"Cuando MACD cruza positivo en los 3 TFs al mismo tiempo, el impulso es estructural, no ruido.","MACD,EMA50,RSI","EMA200,RVOL,ADX",NO,SI,SI,NO,SI,SI,NO,SI,1W: MACD_positivo_o_cruzando(+20pts) | 1D: MACD_cruzando_alcista(+25pts) + precio>EMA50_1D + RSI_1D[45-65](+15pts) | 4H: MACD_ya_positivo(+20pts) + EMA20_4H_girando_arriba | SCORE>=80,Target 1: resistencia_1D | Target 2: extension_fibonacci | Stop: minimo_vela_cruce_1D,Solo_1D_sin_4H_confirmado → WATCHLIST_no_operar | precio<EMA50_1D → descarte,10.0,500.0,1000000.0,0.8,5.0,2026-05-01 00:00:00,"TECNOLOGIA,FINANZAS,INDUSTRIALES",NIVEL,RESISTENCIA,1.0,2026-05-02 00:00:00,MEDIO_1-4W,BAJO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE","Señal rara. Cuando aparece, alta convicción. No forzar si no hay triple alineación real."
SCN-20260701-005,ST-05 Gap Continuidad Institucional,1.0,BREAKOUT,ACCIONES_US,OPEN,LONG,1D,15M,EN_PRUEBAS,ALTA,IA_ASISTIDA,Gaps de apertura con intención institucional real. El gap no se cierra en los primeros 15 min.,Capturar continuación post-gap sostenido por institucional (precio sobre VWAP + RVOL>2.5 en apertura).,Un gap que no se cierra en los primeros 15 min con RVOL alto indica que el institucional está comprando el gap.,"VWAP,RVOL,GAP","EMA20,EMA50,RSI",SI,SI,SI,NO,NO,SI,SI,SI,GAP_alcista>1.5% + gap_no_cierra_15min(+20pts) + precio>VWAP_dia_30min(+20pts) + RVOL>2.5_primera_15min(+20pts) + 3velas_15M_sin_cierre_bajo_minimo_gap(+15pts) + catalizador_verificable(+10pts) | SCORE>=75,Target 1: extension_1x_gap | Target 2: resistencia_previa | Stop: cierre_del_gap (fondo),GAP_sin_catalizador → reducir_tamaño_50% | gap_cierra_<15min → NO_OPERAR | tendencia_previa_bajista → descarte,10.0,300.0,2000000.0,1.0,6.0,2026-05-02 00:00:00,"TECNOLOGIA,SALUD,CONSUMO_DISCRECIONAL",NIVEL,EXTENSION,1.0,2.0,INTRADAY_30m-4h,ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Alta fiabilidad con catalizador (earnings/FDA/M&A). Sin catalizador = riesgo alto de fade.
SCN-20260701-006,ST-06 Rebote EMA200 Diaria,1.0,MEAN_REVERSION,ACCIONES_US,PULLBACK,LONG,1D,1W / 1H,EN_PRUEBAS,ALTA,IA_ASISTIDA,Precio retoca EMA200 en tendencia alcista mayor y rebota. Setup de alta probabilidad en bull markets.,Comprar pullback profundo a nivel institucional máximo (EMA200) con confirmación de reversión.,"En tendencia alcista secular, la EMA200 actúa como soporte institucional. El rebote tiene alta probabilidad cuando la tendencia semanal está intacta.","EMA200,RSI,MACD","EMA20,EMA50,RVOL,ADX",NO,SI,SI,SI,SI,SI,SI,SI,1W: precio>EMA20_semanal + MACD_semanal_positivo | 1D: precio_toca_EMA200_1D + EMA200_slope>0 + RSI_1D[35-50] + vela_reversal_alcista + RVOL>media | SCORE>=85,Target 1: EMA50_1D | Target 2: EMA20_1D | Stop: cierre_por_debajo_EMA200_1D,SPY<EMA50_1D → no_operar (corrección macro activa) | EMA200_slope<0 → descarte,15.0,500.0,2000000.0,0.8,4.0,2026-02-01 00:00:00,"TECNOLOGIA,CONSUMO_DISCRECIONAL,INDUSTRIALES",NIVEL,EMA,1.0,2026-05-02 00:00:00,MEDIO_1-4W,BAJO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Setup más confiable en mercados alcistas seculares. Alta probabilidad histórica en large caps.
SCN-20260701-007,ST-07 Apertura Intraday Momentum,1.0,MOMENTUM,ACCIONES_US,OPEN,LONG,15M,5M,EN_PRUEBAS,MEDIA,IA_ASISTIDA,Captura la dirección establecida en los primeros 15-30 min de sesión NYSE con RVOL alto.,Entrar en la dirección dominante de apertura con confirmación de VWAP y RVOL institucional.,Los primeros 15 min definen la dirección institucional del día. Precio sobre VWAP+RVOL>2 = sesión alcista confirmada.,"VWAP,RVOL,RSI","MACD,EMA20",SI,SI,NO,NO,SI,SI,SI,SI,Futuros_ES/NQ>0.3%(+15pts) + precio>VWAP_15min(+20pts) + RVOL_5M>2.0_primera_vela(+20pts) + primera_vela_15M_cierra_70pct_superior_rango(+15pts) + RSI_15M_cruzando_55(+15pts) + sin_macro_negativo(+15pts) | SCORE>=75,Target: resistencia_intradía | Stop: mínimo_primera_vela_15M | Cierre obligatorio antes 17:30 Madrid,SPY_abre_bajista → NO_OPERAR | VIX>20 → reducir_tamaño_50%,15.0,300.0,3000000.0,1.0,6.0,2.0,"TECNOLOGIA,FINANZAS",NIVEL,RESISTENCIA,0.5,2.0,INTRADAY_30m-4h,ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,TRADINGVIEW,Ventana operativa AXONIK 16:00-18:00 Madrid. Solo mercados en tendencia. No en laterales ni alta volatilidad.
SCN-20260701-008,ST-08 Reversión Intradía a VWAP,1.0,MEAN_REVERSION,ACCIONES_US,REVERSAL,SHORT,5M,15M,PENDIENTE,BAJA,SIN_IA,Extensión intradía >2% sobre VWAP con agotamiento de volumen. Reversión al VWAP como target.,Capturar regresión a la media intradía cuando el precio se extiende demasiado del VWAP con volumen agotado.,Precio >2% sobre VWAP con RSI>75 y RVOL cayendo indica agotamiento. El institucional vende en esos niveles.,"VWAP,RSI,RVOL,MACD","ATR,EMA20",SI,SI,NO,NO,SI,SI,SI,SI,precio>2pct_VWAP_diario(+15pts) + RSI_5M>75(+15pts) + RVOL_cayendo(+20pts) + vela_reversal_bajista_engulfing(+20pts) + MACD_5M_cruzando_negativo(+15pts) + cierre_bajo_VWAP_como_target(+15pts) | SCORE>=70,Target: VWAP_diario | Stop: maximo_vela_reversal + 0.3%,ADVERTENCIA: falla en tendencia fuerte donde precio puede seguir lejos del VWAP varios días.,15.0,300.0,3000000.0,1.0,8.0,2026-05-01 00:00:00,"TECNOLOGIA,FINANZAS",NIVEL,VWAP,0.5,2.0,INTRADAY_30m-4h,MUY_ALTO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,TRADINGVIEW,"Solo en mercados laterales o bajistas. En tendencia alcista fuerte, ignorar."
SCN-20260701-009,ST-09 Swing 2D Momentum Continuation,1.0,MOMENTUM,ACCIONES_US,CONTINUATION,LONG,1D,4H,EN_PRUEBAS,MEDIA,IA_ASISTIDA,Continuación de momentum para 2-3 sesiones. Cierre en máximos + RVOL alto + contexto alcista.,Capturar el impulso de 2-3 días posterior a una sesión de alto volumen con cierre en máximos.,Una sesión con RVOL>1.8 que cierra en el 80%+ del rango indica continuación al día siguiente.,"RVOL,MACD,RSI,EMA20","VWAP,ATR",SI,SI,SI,NO,SI,SI,SI,SI,RVOL>1.8_sesion_anterior(+20pts) + cierre_en_max_dia_anterior_80pct(+15pts) + sin_gap_cierre_consume_objetivo(+10pts) + RSI_1D[55-70](+15pts) + MACD_4H_positivo_creciente(+15pts) + precio>VWAP_semanal(+15pts) + SPY_tendencia_alcista(+10pts) | SCORE>=75,Target: resistencia_48h | Stop: minimo_sesion_anterior | Horizonte maximo: 3 dias,Gap_apertura_consume_>50pct_objetivo → reducir_tamaño | RSI>72 → esperar_pullback,10.0,300.0,1500000.0,0.8,5.0,2026-08-01 00:00:00,"TECNOLOGIA,SALUD,CONSUMO_DISCRECIONAL",NIVEL,RESISTENCIA,1.0,2.0,CORTO_5-30m,MEDIO,2026-07-01 00:00:00,2026-07-01 00:00:00,JJB,"TRADINGVIEW,YAHOO_FINANCE",Simple y efectivo en mercados tendenciales. No usar en earnings o eventos macro el día siguiente.
